CSA,CSB,CAS,CSI,MFL,MDS,SDM,RAY,EPS,COM,EED,ANG,STA
8.08,14.86,13.6,10.0,14.5,11.42,17.35,13.51,18.0,18.5,11,16.7,16.5
7.52,14.57,14.5,15.2,8.58,11.19,15.15,10.96,16.5,17.5,12,16.45,
12.6,11.57,16.9,11.0,14.58,11.85,11.35,12.57,13.5,15.5,14,15.7,16.0
10.4,14.29,15.0,10.0,14.81,11.62,14.19,13.4,16.0,14.5,12,14.5,17.21
5.8,15.79,12.7,15.2,14.73,11.65,15.46,10.68,15.0,17.5,7,16.3,17.0
12.3,10.71,9.9,19.5,12.58,11.38,12.81,10.51,16.0,17.0,11,13.8,16.5
10.82,13.96,13.4,13.1,15.27,10.62,11.31,12.34,15.0,16.0,11,16.7,16.0
12.0,15.29,11.1,10.2,15.54,11.31,12.69,11.62,16.0,17.0,12,16.3,16.0
11.08,15.86,14.2,14.3,10.88,12.0,15.19,11.4,17.0,17.5,9,12.5,14.35
9.7,13.43,10.07,14.9,12.85,10.54,15.5,11.62,18.0,15.0,12,15.3,17.3
8.7,10.32,13.5,19.4,11.27,11.96,15.23,9.51,16.0,18.5,11,12.5,16.5
11.4,14.64,15.1,14.6,11.31,13.19,10.81,12.01,14.5,14.5,12,12.5,17.0
11.5,13.57,14.2,12.5,14.27,9.19,13.19,11.07,15.0,17.0,8,17.0,16.5
9.44,14.71,13.3,15.2,9.54,12.81,14.46,10.68,12.0,18.5,10,14.9,17.25
6.52,14.43,15.6,10.0,14.77,13.88,14.12,10.4,17.5,19.5,12,15.3,14.86
13.4,13.21,14.1,14.6,13.62,10.73,11.06,10.9,13.5,15.5,12,13.6,16.0
8.5,13.43,14.5,19.4,12.54,8.96,12.15,13.07,14.5,16.5,10,14.2,15.5
6.86,14.43,14.8,19.5,11.58,8.92,11.81,10.4,14.5,15.5,12,14.3,17.38
10.4,12.43,12.8,19.1,11.46,6.5,11.92,10.73,13.5,18.0,9,17.6,17.5
7.0,10.14,14.3,15.2,12.5,14.08,12.77,13.18,14.5,16.5,11,18.0,15.0
6.48,11.21,15.5,19.1,14.31,10.04,15.69,13.84,15.0,16.0,8,11.1,15.5
6.8,12.29,14.4,17.6,9.12,12.35,14.73,8.68,15.5,18.5,15,14.7,
11.4,11.39,10.0,19.4,13.31,8.96,14.77,11.07,14.5,15.0,8,14.2,15.75
15.4,10.32,14.3,13.7,13.42,11.85,12.88,10.79,13.5,15.5,12,12.5,13.5
11.5,13.57,14.3,10.8,13.15,13.73,10.85,11.4,13.0,16.5,10,14.5,17.0
4.56,10.46,13.5,19.4,11.0,12.54,14.5,12.01,14.5,16.5,9,16.0,16.35
5.84,12.14,13.6,12.2,11.96,12.04,14.73,13.01,18.5,19.0,12,15.8,
2.56,13.0,13.1,19.5,12.19,13.35,11.77,12.9,15.5,17.0,14,12.6,16.5
8.2,12.57,14.5,10.0,14.27,12.81,14.15,12.96,16.0,16.0,10,16.5,14.75
7.96,13.0,14.0,19.5,8.5,8.65,11.54,11.9,14.0,17.0,9,16.9,16.5
6.9,12.29,13.0,17.6,10.88,10.19,12.23,12.29,13.0,18.5,9,17.0,
6.2,16.57,13.9,14.6,15.15,13.81,13.5,8.68,14.0,15.5,9,12.0,14.5
7.5,14.86,10.5,11.6,16.42,10.88,15.46,12.07,15.0,14.5,11,16.2,14.5
8.12,14.86,15.6,10.0,10.85,14.19,14.15,11.96,16.0,18.5,10,14.2,16.5
13.2,13.29,13.9,10.0,14.08,12.69,15.04,4.73,14.5,15.0,9,15.0,15.5
7.6,10.57,13.7,17.6,13.58,10.65,11.35,9.34,15.0,16.5,10,16.9,
17.0,10.5,14.7,12.2,10.5,8.85,11.5,11.29,12.0,17.0,8,17.4,
4.4,14.43,13.7,19.1,7.54,9.77,12.15,9.51,15.0,17.0,16,15.9,16.5
7.0,13.86,10.3,18.2,12.73,11.88,12.54,9.9,17.0,17.0,9,12.9,15.93
4.6,13.14,15.6,14.9,12.54,10.65,11.19,11.68,18.0,17.0,11,15.8,15.85
8.46,10.61,15.5,14.0,12.85,11.23,14.27,12.29,15.5,16.0,10,11.8,16.5
13.1,13.86,14.1,11.0,13.23,14.73,9.08,13.68,15.0,15.0,8,11.5,15.25
5.7,15.07,14.6,14.9,13.5,11.5,11.69,13.01,13.5,15.0,11,14.2,15.0
9.8,13.43,11.4,10.0,13.15,9.35,12.85,9.79,15.0,18.0,14,18.1,16.15
4.22,11.86,14.4,11.6,13.58,12.12,15.0,13.73,18.0,16.0,15,14.2,15.25
6.0,12.0,14.9,10.2,11.54,11.88,16.81,10.29,16.0,18.5,15,15.2,15.0
10.0,11.86,11.6,15.2,11.04,11.31,13.85,12.84,13.0,17.5,9,15.8,
5.8,12.57,12.7,19.4,12.19,11.5,13.31,9.62,11.5,15.5,10,16.0,
9.92,10.57,11.5,14.3,9.69,10.88,12.19,10.79,15.5,16.0,16,17.1,15.5
4.3,12.14,12.7,15.2,11.54,12.27,13.46,9.68,13.5,18.0,15,14.3,
9.06,12.11,13.8,14.0,11.54,8.69,12.85,8.65,15.0,17.5,14,14.7,16.0
7.5,14.0,10.2,11.6,13.85,11.5,13.81,12.57,14.0,18.0,10,16.5,16.0
7.76,14.36,14.9,10.0,13.42,8.12,12.08,12.34,12.5,18.0,12,16.7,17.0
4.26,13.18,15.3,12.2,14.85,12.88,13.42,11.4,14.5,17.5,11,14.5,13.75
5.68,11.18,12.0,19.4,9.81,9.12,14.54,11.51,11.0,18.0,11,16.3,
6.6,12.57,12.1,10.8,8.81,15.04,16.31,10.12,14.0,17.5,9,17.5,
3.72,11.39,14.8,19.4,12.19,9.38,13.27,10.62,18.0,15.0,11,14.2,13.0
